📺央视频道,#genre#
浙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226339/index.m3u8?IASHttpSessionId=
浙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226342/index.m3u8?IASHttpSessionId=
广东卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226248/index.m3u8?IASHttpSessionId=
广东卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226374/index.m3u8?IASHttpSessionId=
江苏卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225613/index.m3u8?IASHttpSessionId=
江苏卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226310/index.m3u8?IASHttpSessionId=
江苏卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226495/index.m3u8?IASHttpSessionId=
安徽卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225659/index.m3u8?IASHttpSessionId=
安徽卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226391/index.m3u8?IASHttpSessionId=
安徽卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226498/index.m3u8?IASHttpSessionId=
辽宁卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225619/index.m3u8?IASHttpSessionId=
辽宁卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226546/index.m3u8?IASHttpSessionId=
辽宁卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226254/index.m3u8?IASHttpSessionId=
吉林卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226397/index.m3u8?IASHttpSessionId=
吉林卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226386/index.m3u8?IASHttpSessionId=
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226327/index.m3u8?IASHttpSessionId=
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226419/index.m3u8?IASHttpSessionId=
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226467/index.m3u8?IASHttpSessionId=
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226525/index.m3u8?IASHttpSessionId=
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226532/index.m3u8?IASHttpSessionId=
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226531/index.m3u8?IASHttpSessionId=
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226582/index.m3u8?IASHttpSessionId=
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226585/index.m3u8?IASHttpSessionId=
黑龙江卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226421/index.m3u8?IASHttpSessionId=
四川卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226338/index.m3u8?IASHttpSessionId=
四川卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226513/index.m3u8?IASHttpSessionId=
山东卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226456/index.m3u8?IASHttpSessionId=
山东卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226507/index.m3u8?IASHttpSessionId=
河南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226480/index.m3u8?IASHttpSessionId=
河南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226320/index.m3u8?IASHttpSessionId=
河北卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226406/index.m3u8?IASHttpSessionId=
河北卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225623/index.m3u8?IASHttpSessionId=
河北卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226448/index.m3u8?IASHttpSessionId=
湖北卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225627/index.m3u8?IASHttpSessionId=
湖北卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226477/index.m3u8?IASHttpSessionId=
湖北卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226501/index.m3u8?IASHttpSessionId=
东南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225620/index.m3u8?IASHttpSessionId=
东南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226341/index.m3u8?IASHttpSessionId=
东南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226377/index.m3u8?IASHttpSessionId=
江西卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226344/index.m3u8?IASHttpSessionId=
江西卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226504/index.m3u8?IASHttpSessionId=
广西卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226549/index.m3u8?IASHttpSessionId=
广西卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226380/index.m3u8?IASHttpSessionId=
山西卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225624/index.m3u8?IASHttpSessionId=
山西卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226392/index.m3u8?IASHttpSessionId=
陕西卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225625/index.m3u8?IASHttpSessionId=
陕西卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226457/index.m3u8?IASHttpSessionId=
海南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226465/index.m3u8?IASHttpSessionId=
海南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225639/index.m3u8?IASHttpSessionId=
海南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226445/index.m3u8?IASHttpSessionId=
云南卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226444/index.m3u8?IASHttpSessionId=
贵州卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226474/index.m3u8?IASHttpSessionId=
贵州卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225626/index.m3u8?IASHttpSessionId=
贵州卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226383/index.m3u8?IASHttpSessionId=
青海卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225628/index.m3u8?IASHttpSessionId=
青海卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226323/index.m3u8?IASHttpSessionId=
宁夏卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225632/index.m3u8?IASHttpSessionId=
宁夏卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226454/index.m3u8?IASHttpSessionId=
甘肃卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225633/index.m3u8?IASHttpSessionId=
甘肃卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226522/index.m3u8?IASHttpSessionId=
内蒙古卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225634/index.m3u8?IASHttpSessionId=
内蒙古卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226389/index.m3u8?IASHttpSessionId=
西藏卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225638/index.m3u8?IASHttpSessionId=
西藏卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226433/index.m3u8?IASHttpSessionId=
新疆卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225635/index.m3u8?IASHttpSessionId=
